id,name_jp,name_en,family,element,rank,size,base_hp,base_mp,base_atk,base_def,base_spd,base_int,base_res,growth_type,skill_tree_1,skill_tree_2,skill_tree_3,description
015,ダークレイヴン,Dark Raven,bird,dark,C,medium,70,45,30,20,50,45,30,early,やみ,かぜ,,"闇に潜む不吉な烏"
016,マンドレイク,Mandrake,plant,none,E,small,40,35,10,10,8,25,20,early,かいふく,,,"叫び声で敵を混乱させる植物"
017,トレント,Treant,plant,none,C,medium,140,30,30,60,5,20,40,late,かいふく,まもり,,"歩く大木。防御力が非常に高い"
018,ローズウィップ,Rosewhip,plant,none,D,medium,55,30,30,15,25,25,15,normal,むち,かいふく,,"薔薇の鞭を振るう花型モンスター"
019,ワールドツリー,World Tree,plant,none,A,large,220,100,40,80,10,60,70,late,かいふく,まもり,せいれい,"世界樹の化身。全体回復の達人"
020,パラサイトブルーム,Parasite Bloom,plant,dark,C,medium,90,40,35,25,15,40,30,normal,やみ,かいふく,,"寄生する暗黒植物"
021,ファイアウィザード,Fire Wizard,magic,fire,D,medium,45,60,12,15,20,45,25,early,ほのお,,,"炎の魔法を操る小さな魔法使い"
022,アイスメイジ,Ice Mage,magic,water,D,medium,40,65,10,15,18,50,30,early,ひょうが,,,"氷結の魔法の使い手"
023,サンダーメイジ,Thunder Mage,magic,thunder,D,medium,42,60,12,12,22,48,25,early,いなずま,,,"雷撃の魔法を操る"
024,アークウィザード,Arch Wizard,magic,none,B,large,100,120,30,35,30,85,60,normal,ほのお,ひょうが,いなずま,"全属性魔法を操る大魔導師"
025,ネクロマンサー,Necromancer,magic,dark,B,large,90,100,25,30,25,80,50,normal,やみ,じょうたいいじょう,,"死者を操る闇の魔術師"
026,ルーンキャスター,Runecaster,magic,light,C,medium,65,80,20,25,28,60,40,normal,ひかり,まもり,,"光の符文を使う術師"
027,ゴーレム,Golem,material,earth,C,medium,160,5,50,70,5,5,40,late,まもり,,,"岩で出来た巨人。硬い"
028,アイアンナイト,Iron Knight,material,none,C,medium,100,15,45,65,10,10,50,late,まもり,きあい,,"鉄の鎧が動き出したもの"
029,クリスタルキング,Crystal King,material,light,A,large,180,50,55,90,15,40,80,late,まもり,ひかり,きあい,"水晶の体を持つ物質の王"
030,ミミック,Mimic,material,none,D,medium,80,20,40,35,20,15,20,normal,かみつき,,,"宝箱に化けるモンスター"
031,リビングアーマー,Living Armor,material,none,B,large,140,10,60,80,8,8,55,late,まもり,きあい,,"魂の宿った甲冑"
032,スケルトン,Skeleton,undead,dark,E,small,35,15,20,10,20,15,5,early,やみ,,,"骸骨の兵士"
033,ゴースト,Ghost,undead,dark,D,medium,40,40,15,5,30,35,20,early,やみ,じょうたいいじょう,,"浮遊する幽霊。物理が効きにくい"
034,ヴァンパイア,Vampire,undead,dark,B,large,130,70,55,40,45,60,35,normal,やみ,かみつき,じょうたいいじょう,"吸血鬼。HPドレイン持ち"
035,リッチ,Lich,undead,dark,A,large,110,130,35,45,25,90,60,normal,やみ,ほのお,ひょうが,"不死の大魔術師"
036,デスナイト,Death Knight,undead,dark,B,large,150,30,70,55,30,25,40,late,やみ,きあい,,"死の騎士。攻防バランス型"
037,ファイアドレイク,Firedrake,dragon,fire,C,medium,100,40,50,35,30,35,25,normal,ほのお,かみつき,,"炎を吐く若竜"
038,フロストワイバーン,Frost Wyvern,dragon,water,C,medium,95,45,45,30,35,40,30,normal,ひょうが,かぜ,,"氷の翼を持つ飛竜"
039,サンダードラゴン,Thunder Dragon,dragon,thunder,B,large,160,60,70,50,40,50,40,normal,いなずま,きあい,,"雷を纏う竜"
040,エルダードラゴン,Elder Dragon,dragon,none,A,large,230,80,85,70,45,60,55,late,ほのお,ひょうが,きあい,"古代竜。全能力が高い"
041,ダークドラゴン,Dark Dragon,dragon,dark,A,large,210,90,80,60,40,70,50,late,やみ,ほのお,きあい,"闇の力に堕ちた竜"
042,ホーリードラゴン,Holy Dragon,dragon,light,A,large,200,100,70,65,50,75,65,late,ひかり,かいふく,きあい,"聖なる竜。回復も可能"
043,フレイムロード,Flame Lord,divine,fire,S,boss,280,120,95,70,55,80,60,late,ほのお,きあい,おうじゃ,"炎を司る神獣"
044,フロストエンペラー,Frost Emperor,divine,water,S,boss,270,130,85,75,50,90,70,late,ひょうが,まもり,おうじゃ,"氷の支配者たる神獣"
045,サンダーゴッド,Thunder God,divine,thunder,S,boss,260,110,90,65,70,85,55,late,いなずま,きあい,おうじゃ,"雷神の力を持つ神獣"
046,ガイアガーディアン,Gaia Guardian,divine,earth,S,boss,320,100,80,95,30,70,80,late,だいち,まもり,おうじゃ,"大地を守護する神獣"
047,ヴォイドマスター,Void Master,divine,dark,S,boss,250,150,75,60,60,100,70,late,やみ,じょうたいいじょう,おうじゃ,"虚無を操る最強の闇の存在"
048,ポイズンスライム,Poison Slime,slime,earth,D,medium,55,25,18,18,12,20,15,early,じょうたいいじょう,,,"毒を持つスライム"
049,ダークスライム,Dark Slime,slime,dark,C,medium,70,45,25,25,20,35,25,normal,やみ,,,"闇に染まったスライム"
050,スライムナイト,Slime Knight,slime,none,C,medium,85,30,40,35,25,20,20,normal,きあい,ヒールスライム,,"騎士を乗せたスライム"
051,ワイルドボア,Wild Boar,beast,earth,D,medium,80,5,40,25,25,5,10,normal,とっしん,,,"突進するイノシシ"
052,ヘルハウンド,Hellhound,beast,fire,B,large,130,25,65,35,50,20,15,normal,ほのお,かみつき,,"地獄の炎犬"
053,ユニコーン,Unicorn,beast,light,B,large,120,60,40,35,45,50,45,normal,ひかり,かいふく,,"聖なる一角獣"
054,ナイトメア,Nightmare,beast,dark,B,large,135,40,60,40,50,30,20,normal,やみ,とっしん,,"悪夢を見せる黒馬"
055,フォレストウルフ,Forest Wolf,beast,wind,D,medium,65,15,30,18,35,12,10,early,かみつき,,,"森に住む狼の一種"
056,コカトリス,Cockatrice,bird,earth,D,medium,55,30,20,15,35,30,20,early,じょうたいいじょう,,,"石化の視線を持つ鶏竜"
057,ハーピー,Harpy,bird,wind,D,medium,50,35,20,12,40,30,18,early,かぜ,じょうたいいじょう,,"歌声で魅了する半鳥人"
058,ロック,Roc,bird,wind,A,large,180,40,70,50,60,30,30,late,かぜ,とっしん,きあい,"巨大な伝説の怪鳥"
059,フクロウセージ,Owl Sage,bird,light,C,medium,60,55,20,20,30,50,35,normal,ひかり,かいふく,,"知恵の梟。補助魔法の達人"
060,ポイズンモス,Poison Moth,bird,earth,E,small,30,20,12,8,30,18,10,early,じょうたいいじょう,,,"毒鱗粉を撒く蛾"
061,キノコマスター,Mushroom Master,plant,earth,D,medium,70,35,20,20,10,30,25,normal,じょうたいいじょう,かいふく,,"胞子で状態異常を撒くキノコ"
062,サボテンダー,Cactender,plant,earth,D,medium,60,15,35,30,15,10,20,normal,とっしん,,,"針を飛ばすサボテン"
063,ラフレシアクイーン,Rafflesia Queen,plant,dark,B,large,130,60,40,40,12,55,40,normal,やみ,じょうたいいじょう,かいふく,"巨大な食虫植物の女王"
064,エンシェントツリー,Ancient Tree,plant,earth,A,large,250,70,35,85,5,45,65,late,だいち,まもり,かいふく,"千年を生きる古木"
065,バンブーファイター,Bamboo Fighter,plant,wind,C,medium,75,20,40,30,30,15,15,normal,かぜ,きあい,,"竹の剣士。素早さが高め"
066,ファイアエレメント,Fire Elemental,magic,fire,C,medium,60,70,20,10,25,55,20,normal,ほのお,,,"炎の精霊"
067,ウォーターエレメント,Water Elemental,magic,water,C,medium,65,70,15,15,20,55,30,normal,ひょうが,,,"水の精霊"
068,アースエレメント,Earth Elemental,magic,earth,C,medium,80,60,25,30,10,45,35,normal,だいち,,,"大地の精霊"
069,ウィンドエレメント,Wind Elemental,magic,wind,C,medium,50,75,15,10,40,55,20,normal,かぜ,,,"風の精霊"
070,ダークビショップ,Dark Bishop,magic,dark,C,medium,55,75,18,18,20,60,35,normal,やみ,じょうたいいじょう,,"闇の司祭"
071,ホーリーセイント,Holy Saint,magic,light,B,large,90,100,25,30,22,70,55,normal,ひかり,かいふく,まもり,"光の聖者"
072,プリズムメイジ,Prism Mage,magic,light,A,large,120,140,30,35,30,95,65,late,ひかり,ほのお,ひょうが,"虹の魔法を操る大魔導師"
073,ブロンズゴーレム,Bronze Golem,material,earth,D,medium,100,0,35,50,5,3,30,late,まもり,,,"青銅のゴーレム"
074,マジックアーマー,Magic Armor,material,none,B,large,130,30,50,75,10,20,60,late,まもり,きあい,,"魔力を帯びた鎧"
075,ダイヤモンドスライム,Diamond Slime,material,light,A,large,30,50,10,99,70,30,99,late,メタルボディ,ひかり,,"究極の硬さを誇る宝石スライム"
076,クロックワーク,Clockwork,material,none,C,medium,90,20,35,45,20,15,35,normal,まもり,,,"歯車仕掛けの自動人形"
077,マグマゴーレム,Magma Golem,material,fire,B,large,180,10,65,60,5,10,45,late,ほのお,まもり,,"溶岩で出来たゴーレム"
078,ゾンビ,Zombie,undead,dark,E,small,50,10,22,8,8,5,5,early,やみ,,,"ゆっくり歩く屍"
079,バンシー,Banshee,undead,dark,D,medium,45,50,15,10,25,40,25,normal,やみ,じょうたいいじょう,,"叫び声で精神攻撃する亡霊"
080,デュラハン,Dullahan,undead,dark,B,large,140,40,65,50,30,30,35,normal,やみ,きあい,,"首なし騎士"
081,スペクター,Specter,undead,dark,C,medium,55,55,20,8,35,45,30,normal,やみ,じょうたいいじょう,,"高位の幽霊"
082,ミイラキング,Mummy King,undead,earth,A,large,190,60,60,65,20,50,50,late,やみ,まもり,じょうたいいじょう,"呪いのファラオ"
083,ベビードラゴン,Baby Dragon,dragon,fire,D,medium,65,25,30,20,25,20,15,early,ほのお,,,"竜の幼体"
084,ワイバーン,Wyvern,dragon,wind,C,medium,95,30,45,30,40,25,20,normal,かぜ,かみつき,,"翼を持つ飛竜"
085,シーサーペント,Sea Serpent,dragon,water,C,medium,100,35,40,35,30,30,25,normal,ひょうが,かみつき,,"海に住む竜"
086,スカルドラゴン,Skull Dragon,dragon,dark,B,large,170,50,70,50,30,40,30,late,やみ,ほのお,,"骨竜。アンデッドの竜"
087,ミスリルドラゴン,Mithril Dragon,dragon,light,B,large,175,55,65,60,35,45,45,normal,ひかり,きあい,,"銀色の聖竜"
088,カオスドラゴン,Chaos Dragon,dragon,dark,A,large,240,70,85,60,40,60,45,late,やみ,ほのお,いなずま,"混沌の竜王"
089,スパーク,Spark,magic,thunder,E,small,25,40,8,5,35,30,10,early,いなずま,,,"小さな雷の精"
090,シャドウ,Shadow,undead,dark,D,medium,45,35,25,5,35,30,15,early,やみ,,,"影から生まれた存在"
091,サンドワーム,Sandworm,beast,earth,C,medium,120,10,50,40,15,8,20,normal,だいち,かみつき,,"砂漠の大蚯蚓"
092,ケルベロス,Cerberus,beast,fire,A,large,190,35,80,55,50,25,25,late,ほのお,かみつき,きあい,"三つ首の地獄犬"
093,アルラウネ,Alraune,plant,earth,C,medium,80,50,25,25,20,40,30,normal,かいふく,じょうたいいじょう,,"人型の花。魅了の香り"
094,アイスゴーレム,Ice Golem,material,water,B,large,170,10,55,70,5,10,50,late,ひょうが,まもり,,"氷のゴーレム"
095,ガーゴイル,Gargoyle,material,wind,C,medium,85,25,40,45,25,15,30,normal,かぜ,まもり,,"石像が動き出したもの"
096,キメラ,Chimera,beast,fire,B,large,140,40,55,40,40,35,25,normal,ほのお,かぜ,かみつき,"合成獣。複数の動物の特徴"
097,グリフォン,Griffon,beast,wind,A,large,170,45,70,50,60,30,30,normal,かぜ,とっしん,きあい,"鷲と獅子の幻獣"
098,ウィスプ,Wisp,magic,light,E,small,20,50,5,5,30,35,20,early,ひかり,,,"光の魂。小さいが光魔法を使う"
099,デーモン,Demon,magic,dark,B,large,130,80,55,40,35,65,40,normal,やみ,ほのお,きあい,"悪魔。攻撃魔法が強力"
100,セラフ,Seraph,magic,light,A,large,160,120,45,50,40,85,60,late,ひかり,かいふく,まもり,"天使。全体回復と光魔法"
101,ミノタウロス,Minotaur,beast,earth,B,large,160,10,75,50,20,8,15,late,だいち,きあい,,"迷宮の番人"
102,メデューサ,Medusa,magic,dark,B,large,100,80,35,30,30,65,40,normal,やみ,じょうたいいじょう,,"石化の視線を持つ蛇女"
103,クラーケン,Kraken,beast,water,A,large,200,50,75,55,30,40,35,late,ひょうが,かみつき,,"深海の大王イカ"
104,リヴァイアサン,Leviathan,dragon,water,A,large,250,80,80,70,35,55,50,late,ひょうが,かみつき,きあい,"海の竜王"
105,タイタン,Titan,material,earth,A,large,280,20,90,80,10,15,50,late,だいち,きあい,まもり,"巨人族。圧倒的HP"
106,スプライト,Sprite,magic,wind,D,medium,35,50,10,8,40,40,25,early,かぜ,かいふく,,"風の妖精"
107,ドリアード,Dryad,plant,wind,B,large,100,70,30,30,30,55,45,normal,かぜ,かいふく,せいれい,"木の精霊"
108,サラマンダー,Salamander,dragon,fire,C,medium,90,30,45,30,30,30,20,normal,ほのお,かみつき,,"炎のトカゲ竜"
109,バジリスク,Basilisk,dragon,earth,C,medium,95,25,40,35,25,25,25,normal,だいち,じょうたいいじょう,,"石化の視線を持つ蛇竜"
110,ファントム,Phantom,undead,dark,C,medium,50,60,20,5,40,50,30,normal,やみ,じょうたいいじょう,,"高位の亡霊"
111,ドラゴンゾンビ,Dragon Zombie,undead,dark,A,large,200,40,75,50,20,35,30,late,やみ,ほのお,かみつき,"不死の竜"
112,ゴールドゴーレム,Gold Golem,material,none,B,large,150,15,50,80,5,5,60,late,まもり,メタルボディ,,"黄金のゴーレム。経験値が高い"
113,ダークエルフ,Dark Elf,magic,dark,C,medium,60,65,25,20,35,55,30,normal,やみ,じょうたいいじょう,,"闇堕ちしたエルフ"
114,エンジェルスライム,Angel Slime,slime,light,C,medium,70,55,20,25,20,40,35,normal,ひかり,かいふく,,"天使の羽を持つスライム"
115,ピクシー,Pixie,magic,light,D,medium,35,55,12,10,40,45,25,early,ひかり,かいふく,,"小さな妖精"
116,ガルーダ,Garuda,bird,fire,A,large,170,50,65,45,65,40,30,late,ほのお,かぜ,きあい,"神話の炎鳥"
117,デスアーマー,Death Armor,undead,dark,C,medium,90,20,45,45,15,20,25,normal,やみ,きあい,,"死の鎧"
118,トロル,Troll,beast,earth,C,medium,130,5,55,35,10,5,10,late,だいち,きあい,,"再生能力を持つ怪物"
119,サイクロプス,Cyclops,beast,earth,B,large,170,10,80,45,15,10,15,late,だいち,きあい,,"一つ目の巨人"
120,マザースライム,Mother Slime,slime,none,B,large,160,60,35,45,15,35,40,normal,ヒールスライム,かいふく,まもり,"全スライムの母"
